Name,Artifact Type,Category,Description,Tags,Classifications,Stewards,Related Terms,Part Of Terms,Type Of Terms,Abbreviations,Data Classes,Synonyms,Secondary Categories
Transaction Type,glossary_term,Customer Vocabulary >> Customer 360,"Indicates the type of transaction. For example, payment, charge off etc.",,,,,,,,,,
Postal Address State,glossary_term,Customer Vocabulary >> Customer 360,Identifies the state component of postal address.,,,,Customer Vocabulary >> Customer 360 >> State,Customer Vocabulary >> Customer 360 >> Postal Address,,,Canada Province Code,,
,,,,,,,,,,,US State Code,,
,,,,,,,,,,,UK Province Code,,
,,,,,,,,,,,State/Province Name,,
,,,,,,,,,,,ISO 3166-2 Code,,
Customer Account Revenue Class,glossary_term,Customer Vocabulary >> Customer 360,"The classification of the customers revenue for accounting, for example: residential, commercial, industrial.",,,,,Customer Vocabulary >> Customer 360 >> Customer Account,,,,,
Youngest Household Child Birth Year,glossary_term,Customer Vocabulary >> Customer 360,The year on which the youngest adult member of household was born.,,,,,Customer Vocabulary >> Customer 360 >> Household,,,,,
Household Gross Income,glossary_term,Customer Vocabulary >> Customer 360,"The annual total of all income sources for the household, derived from the gross income of the household members.",,,,,Customer Vocabulary >> Customer 360 >> Household,,,,,
Customer Account Collection Status,glossary_term,Customer Vocabulary >> Customer 360,"A high-level status that describes where a customer is in the collections business cycle, for example: active, inactive.",,,,,Customer Vocabulary >> Customer 360 >> Customer Account,,,,,
Employment Status,glossary_term,Customer Vocabulary >> Customer 360,"The employment status of an individual, for example: full-time, part-time, unemployed, retired.",,,,,Customer Vocabulary >> Customer 360 >> Customer,,,Employment Status,,
